date,ticker,action,qty,entry_price,stop,take_profit,confidence,reasons,features_json
2025-10-01,META,HOLD,0,734.3800048828125,0,0,0.0,"r5=-0.028, sent_mean=0.00, n_news=0, score=-0.439","{'ret_5d': -0.0278, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.439}"
2025-10-01,MRK,BUY,0,83.93000030517578,0,0,0.2,"r5=0.050, sent_mean=0.00, n_news=0, score=0.908","{'ret_5d': 0.0496, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.908}"
2025-10-01,MSFT,BUY,0,517.9500122070312,0,0,0.07,"r5=0.017, sent_mean=0.00, n_news=0, score=0.343","{'ret_5d': 0.0171, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.343}"
2025-10-01,NFLX,HOLD,0,1198.9200439453125,0,0,0.0,"r5=-0.016, sent_mean=0.00, n_news=0, score=-0.234","{'ret_5d': -0.016, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.234}"
2025-10-01,NKE,HOLD,0,69.7300033569336,0,0,0.0,"r5=-0.017, sent_mean=0.00, n_news=0, score=-0.249","{'ret_5d': -0.0169, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.249}"
2025-10-01,NVDA,BUY,0,186.5800018310547,0,0,0.18,"r5=0.046, sent_mean=0.00, n_news=0, score=0.839","{'ret_5d': 0.0457, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.839}"
2025-10-01,ORCL,HOLD,0,281.239990234375,0,0,0.0,"r5=-0.104, sent_mean=0.00, n_news=0, score=-1.761","{'ret_5d': -0.1038, 'sent_mean': 0.0, 'n_news': 0, 'score': -1.761}"
2025-10-01,PEP,HOLD,0,140.44000244140625,0,0,0.0,"r5=-0.010, sent_mean=0.00, n_news=0, score=-0.134","{'ret_5d': -0.0103, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.134}"
2025-10-01,PFE,BUY,0,25.479999542236328,0,0,0.22,"r5=0.056, sent_mean=0.00, n_news=0, score=1.018","{'ret_5d': 0.0559, 'sent_mean': 0.0, 'n_news': 0, 'score': 1.018}"
2025-10-01,PYPL,HOLD,0,67.05999755859375,0,0,0.0,"r5=-0.004, sent_mean=0.00, n_news=0, score=-0.020","{'ret_5d': -0.0037, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.02}"
2025-10-01,QCOM,HOLD,0,166.36000061035156,0,0,0.0,"r5=-0.019, sent_mean=0.00, n_news=0, score=-0.280","{'ret_5d': -0.0187, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.28}"
2025-10-01,SBUX,HOLD,0,84.5999984741211,0,0,0.0,"r5=-0.013, sent_mean=0.00, n_news=0, score=-0.176","{'ret_5d': -0.0127, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.176}"
2025-10-01,TMO,BUY,0,485.0199890136719,0,0,0.13,"r5=0.033, sent_mean=0.00, n_news=0, score=0.610","{'ret_5d': 0.0325, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.61}"
2025-10-01,TSLA,BUY,0,444.7200012207031,0,0,0.18,"r5=0.044, sent_mean=0.00, n_news=0, score=0.816","{'ret_5d': 0.0443, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.816}"
2025-10-01,TXN,HOLD,0,183.72999572753906,0,0,0.04,"r5=0.009, sent_mean=0.00, n_news=0, score=0.206","{'ret_5d': 0.0093, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.206}"
2025-10-01,UNH,HOLD,0,345.29998779296875,0,0,0.0,"r5=-0.007, sent_mean=0.00, n_news=0, score=-0.075","{'ret_5d': -0.0069, 'sent_mean': 0.0, 'n_news': 0, 'score': -0.075}"
2025-10-01,V,HOLD,0,341.3800048828125,0,0,0.03,"r5=0.008, sent_mean=0.00, n_news=0, score=0.182","{'ret_5d': 0.0079, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.182}"
2025-10-01,WMT,HOLD,0,103.05999755859375,0,0,0.02,"r5=0.005, sent_mean=0.00, n_news=0, score=0.136","{'ret_5d': 0.0053, 'sent_mean': 0.0, 'n_news': 0, 'score': 0.136}"
