ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
LLY
JPM
V
MA
COST
NFLX
ADBE
CRM
PEP
KO
AMD
NKE
MCD
CSCO
ORCL
TXN
TMO
MRK
UNH
WMT
HD
LIN
ABNB
INTU
IBM
PYPL
QCOM
PFE
SBUX
CAT
GE
